List 1,List 2
0.010593207703784044,0.08419848911593233
0.013017714464746154,0.0879148415993849
0.010297228876993128,0.08057972202198194
0.011433200306817893,0.0825145953025618
0.009740531113086955,0.08817394263856194
0.010027785245381426,0.08602620290624072
0.009423383812766455,0.09305226096929116
0.01087171091916399,0.08908847750747538
0.009624519799272284,0.08981404177470567
0.009936717503697593,0.08335578869833737
0.009397748825761183,0.08288659809341453
0.010862405094509258,0.08247385875127404
0.010162015298431281,0.07864945549276504
0.010019505508570817,0.09348533449955729
0.011185709890579447,0.07896388763906428
0.008998008226521574,0.08571765185894725
0.00915189912375716,0.08830297629547426
0.011440942056601244,0.07817619513477321
0.010947610610638535,0.08498561523645125
0.010582362126330274,0.08177595413715331
0.009077674156862,0.09249585819448118
0.00979460418298187,0.08984684091339239
0.009911636162598273,0.08153977385475177
0.009710041396087853,0.08605748531199002
0.01049753346794301,0.08992114127831151
0.01063019261859161,0.09365671923458702
0.010514435702715918,0.08884775340680164
0.010188187595672518,0.09032598230464564
0.01076898650170647,0.07779879879117495
0.010250236030857554,0.0722640371952803
