List 1,List 2
0.01709066035133836,0.03248440771799526
0.012850481552709089,0.03552421858571732
0.017327561741400703,0.030124445080559448
0.01321531702865307,0.03315112876026984
0.01563452356291052,0.03244802953730768
0.017350407144760615,0.03233011752651061
0.018061100577033664,0.03199198497642103
0.019260063810646537,0.035100197135985896
0.01951134418860862,0.030403007626631173
0.015389120674427404,0.03200902783531038
0.01375723544000403,0.030288022231981106
0.014966302106725546,0.033109083031083855
0.015600967169219725,0.032392795591560344
0.020815358128986862,0.03593887355195863
0.014803065638832356,0.02882416517640491
0.015411382597086853,0.03139226476293857
0.013526787867632348,0.03367450478774926
0.019636450945821247,0.03565945649590424
0.014200621309543124,0.03180389705644709
0.017120422717026976,0.03475733828992593
