score,params,indices
0.16489590767289505,"(0.05100167673827881, 170, 63, 3, 2, 0.7067222284336515, 0.3374744190577631, 0.6080159047999414, 0.7887401850991953)","(2, 2)"
0.06338263954840549,"(0.05100167673827881, 170, 15, 3, 6, 0.2877747307918306, 0.4869410730955035, 0.9294201369716077, 0.8211649459944912)","(2, 3)"
0.25788781756446477,"(0.05100167673827881, 170, 29, 29, 9, 0.3357433481832667, 0.3344162551684708, 0.5875394214597643, 0.5390980686925775)","(2, 4)"
0.26188562017719763,"(0.05618067660289877, 90, 58, 29, 7, 0.3357433481832667, 0.3656158643892833, 0.6074671719870688, 0.5390980686925775)","(2, 5)"
0.21213204659977739,"(0.06093612412267342, 66, 49, 17, 1, 0.572014768253708, 0.3656158643892833, 0.6074671719870688, 0.6588364679322898)","(3, 0)"
0.16982469726987437,"(0.05100167673827881, 37, 2, 17, 9, 0.8401823211314496, 0.15155339817982694, 0.9758284050306729, 0.5056257007519817)","(3, 1)"
0.08115092805859182,"(0.09470024958526961, 37, 6, 17, 9, 0.1615991414368614, 0.7815926420832191, 0.9758284050306729, 0.7328883652683783)","(3, 2)"
0.09416160348321305,"(0.09470024958526961, 155, 17, 3, 6, 0.47659276677878937, 0.579973519013718, 0.9758284050306729, 0.7328883652683783)","(3, 3)"
0.20031386526668965,"(0.020194991232630622, 170, 20, 29, 9, 0.47659276677878937, 0.48990907468390865, 0.5592920559754502, 0.7328883652683783)","(3, 4)"
0.2717942348548344,"(0.05618067660289877, 90, 58, 29, 9, 0.40089615031123527, 0.30480211201095353, 0.5347866121444259, 0.6121814740674656)","(3, 5)"
0.258384254554502,"(0.08597757648534929, 47, 49, 8, 9, 0.2906707585596904, 0.9326076741167972, 0.5347866121444259, 0.6121814740674656)","(4, 0)"
0.37008831582101837,"(0.04731983552854824, 47, 50, 26, 9, 0.2906707585596904, 0.15155339817982694, 0.5474960989721235, 0.5056257007519817)","(4, 1)"
0.14547485707163,"(0.04731983552854824, 128, 50, 14, 9, 0.2906707585596904, 0.7815926420832191, 0.8572471662353267, 0.6121814740674656)","(4, 2)"
0.0632650404864428,"(0.08597757648534929, 47, 43, 3, 9, 0.2906707585596904, 0.579973519013718, 0.6972844282301117, 0.9222195428128677)","(4, 3)"
0.15649904347195917,"(0.08597757648534929, 87, 49, 29, 2, 0.2906707585596904, 0.9326076741167972, 0.6972844282301117, 0.706722003518858)","(4, 4)"
0.15346315631858345,"(0.02505566414342184, 87, 49, 8, 9, 0.2906707585596904, 0.9326076741167972, 0.9220610613332969, 0.6121814740674656)","(4, 5)"
0.13473414455344077,"(0.02505566414342184, 47, 35, 2, 9, 0.2906707585596904, 0.9624066689834286, 0.9220610613332969, 0.6121814740674656)","(5, 0)"
0.008669540429880628,"(0.08488470386798912, 69, 35, 2, 9, 0.29023509628727173, 0.15218550597523925, 0.9220610613332969, 0.9828013334520658)","(5, 1)"
0.09230957525928005,"(0.07842865313466209, 133, 27, 30, 9, 0.29023509628727173, 0.7815926420832191, 0.8572471662353267, 0.7723264784687529)","(5, 2)"
0.09438900384975939,"(0.07842865313466209, 192, 10, 3, 9, 0.9621513348225513, 0.5825537292231041, 0.5280109837246667, 0.9828013334520658)","(5, 3)"
0.21643905035492514,"(0.05033475325365941, 87, 10, 3, 9, 0.2906707585596904, 0.5825537292231041, 0.5280109837246667, 0.706722003518858)","(5, 4)"
0.10865853416676424,"(0.015827529521154377, 87, 61, 2, 1, 0.29023509628727173, 0.5825537292231041, 0.9220610613332969, 0.706722003518858)","(5, 5)"
0.005417600451322386,"(0.02505566414342184, 73, 38, 2, 9, 0.2906707585596904, 0.30933146655082877, 0.9362407839234244, 0.9828013334520658)","(6, 0)"
0.08094031960278952,"(0.02505566414342184, 73, 38, 8, 9, 0.2906707585596904, 0.6512495441955717, 0.9362407839234244, 0.7859994217527001)","(6, 1)"
0.12619274801948444,"(0.02505566414342184, 73, 38, 17, 9, 0.2906707585596904, 0.28179068748694747, 0.6169561167817645, 0.829128209250386)","(6, 2)"
0.39646946220170887,"(0.02505566414342184, 73, 19, 10, 9, 0.16456337189891002, 0.9886244523604537, 0.5358977533388202, 0.6299482032276966)","(6, 3)"
0.27956918871321645,"(0.05033475325365941, 241, 10, 10, 9, 0.2906707585596904, 0.8825505158112431, 0.5280109837246667, 0.5772959478550437)","(6, 4)"
0.009599443352749558,"(0.015827529521154377, 87, 10, 2, 9, 0.7261505333277601, 0.5825537292231041, 0.9220610613332969, 0.9837442011794371)","(6, 5)"
0.014685061383916407,"(0.02505566414342184, 178, 10, 1, 8, 0.7261505333277601, 0.5825537292231041, 0.8250604703333779, 0.9837442011794371)","(7, 0)"
0.07505968980440478,"(0.02505566414342184, 178, 60, 5, 8, 0.19526202016138172, 0.3423899089601865, 0.8516299716980109, 0.8107765998536891)","(7, 1)"
0.13345794770993344,"(0.02505566414342184, 91, 60, 17, 5, 0.8530323048324213, 0.3423899089601865, 0.6169561167817645, 0.829128209250386)","(7, 2)"
0.1676616856435529,"(0.04241521967911627, 91, 60, 9, 5, 0.7862961084874681, 0.3423899089601865, 0.8250604703333779, 0.6299482032276966)","(7, 3)"
0.35622747941892974,"(0.04241521967911627, 178, 41, 10, 3, 0.7261505333277601, 0.5909955748024882, 0.8250604703333779, 0.5047381528080865)","(7, 4)"
0.18406145256392809,"(0.015827529521154377, 178, 41, 10, 9, 0.7261505333277601, 0.5909955748024882, 0.9220610613332969, 0.5047381528080865)","(7, 5)"
0.02596565120834477,"(0.08832232869068429, 234, 35, 1, 8, 0.6184335141759166, 0.2134265121611035, 0.9220610613332969, 0.9405009294838691)","(8, 0)"
0.026021337953909318,"(0.08832232869068429, 234, 35, 25, 8, 0.9000429265085623, 0.32208146790840275, 0.8822569585170069, 0.9405009294838691)","(8, 1)"
0.02842480827655111,"(0.04069710124422847, 91, 35, 1, 8, 0.23755247111566213, 0.869499069635768, 0.8972781427707945, 0.9405009294838691)","(8, 2)"
0.026458226424344138,"(0.04069710124422847, 91, 56, 1, 8, 0.23755247111566213, 0.3423899089601865, 0.8972781427707945, 0.9405009294838691)","(8, 3)"
0.026861011439642937,"(0.04069710124422847, 37, 47, 11, 3, 0.23755247111566213, 0.3423899089601865, 0.8972781427707945, 0.9405009294838691)","(8, 4)"
0.1923201376280817,"(0.015827529521154377, 178, 35, 10, 9, 0.8139892736540536, 0.8215668917512062, 0.8858135094763808, 0.5047381528080865)","(8, 5)"
0.11219433781241073,"(0.015827529521154377, 178, 7, 1, 8, 0.6184335141759166, 0.2979660086156414, 0.8858135094763808, 0.7255485849926816)","(9, 0)"
0.029513274087589615,"(0.07955501536537089, 178, 15, 1, 2, 0.6184335141759166, 0.2979660086156414, 0.8822569585170069, 0.9405009294838691)","(9, 1)"
0.027149696262920794,"(0.08644885890882562, 248, 7, 1, 8, 0.6184335141759166, 0.2979660086156414, 0.8972781427707945, 0.9405009294838691)","(9, 2)"
0.15493779379088862,"(0.08644885890882562, 94, 41, 13, 9, 0.935921054888997, 0.9636565438097828, 0.9716418147231622, 0.5531172481352085)","(9, 3)"
0.04384808211498672,"(0.07288165155920516, 178, 47, 13, 3, 0.5551665231058355, 0.6131633587119736, 0.9716418147231622, 0.8473047890787435)","(9, 4)"
0.6577716555725149,"(0.09256495903335836, 152, 47, 23, 7, 0.5551665231058355, 0.4241571098853252, 0.8254764656065234, 0.7255485849926816)","(9, 5)"
0.14655261884133022,"(0.09256495903335836, 105, 7, 23, 8, 0.8547335987606386, 0.2979660086156414, 0.8254764656065234, 0.6471579114235194)","(10, 0)"
0.6067847822799164,"(0.07955501536537089, 105, 15, 1, 3, 0.8547335987606386, 0.45813634448137497, 0.8254764656065234, 0.6471579114235194)","(10, 1)"
0.03592532596924678,"(0.09256495903335836, 98, 9, 14, 8, 0.7028129712927322, 0.2979660086156414, 0.8016023088161764, 0.9405009294838691)","(10, 2)"
0.13196365474438182,"(0.09256495903335836, 94, 19, 17, 9, 0.35535320801334525, 0.2979660086156414, 0.7841925427858842, 0.727844213221037)","(10, 3)"
0.052338927112469055,"(0.09256495903335836, 178, 28, 23, 2, 0.5551665231058355, 0.9020509349871463, 0.9716418147231622, 0.8473047890787435)","(10, 4)"
0.04293337545427335,"(0.017052170480185667, 178, 7, 23, 1, 0.8547335987606386, 0.6633173616315582, 0.8254764656065234, 0.9010274976229655)","(10, 5)"
