score,params,indices
0.008438419,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.083357429,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.083403541,"(199, 41, 70, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(0, 2)"
0.083353844,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.333403539,"(459, 25, 69, 17, 10, 49, 3, 6, 50, 3904, 50, 70, 71)","(9, 1)"
0.333403536,"(459, 25, 4, 17, 10, 49, 28, 6, 87, 4258, 77, 71, 60)","(10, 2)"
0.008067999,"(100, 32, 64, 16, 32, 49, 3, 1, 50, 64, 30, 59, 60)","(1, 0)"
0.01295396,"(639, 32, 36, 16, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(1, 1)"
0.083381348,"(199, 32, 70, 14, 19, 49, 2, 8, 50, 1742, 22, 88, 63)","(1, 2)"
0.083403538,"(93, 7, 108, 14, 26, 46, 2, 9, 38, 64, 82, 88, 51)","(1, 3)"
0.010545459,"(577, 45, 7, 15, 10, 20, 8, 1, 28, 64, 36, 64, 60)","(1, 4)"
0.007559818,"(267, 32, 64, 16, 32, 49, 3, 1, 50, 64, 30, 59, 60)","(2, 0)"
0.083405121,"(639, 32, 36, 16, 24, 43, 28, 1, 42, 153, 31, 70, 60)","(2, 1)"
0.083403551,"(199, 32, 70, 16, 19, 49, 2, 8, 50, 153, 22, 88, 63)","(2, 2)"
0.083403539,"(93, 7, 108, 14, 26, 46, 2, 9, 50, 64, 82, 88, 51)","(2, 3)"
0.009397352,"(577, 45, 7, 14, 10, 42, 3, 1, 28, 64, 36, 64, 51)","(2, 4)"
0.010000855,"(267, 45, 7, 39, 10, 49, 3, 2, 50, 64, 55, 77, 83)","(2, 5)"
0.011627444,"(267, 25, 7, 39, 32, 49, 3, 1, 50, 64, 90, 59, 60)","(3, 0)"
0.018569972,"(459, 32, 7, 39, 24, 43, 28, 1, 42, 153, 31, 70, 60)","(3, 1)"
0.011177758,"(267, 17, 70, 16, 32, 49, 2, 3, 50, 64, 22, 88, 63)","(3, 2)"
0.081685523,"(93, 36, 70, 39, 32, 17, 3, 3, 50, 64, 82, 88, 51)","(3, 3)"
0.008547386,"(577, 37, 7, 14, 10, 57, 3, 1, 28, 64, 36, 64, 51)","(3, 4)"
0.008119453,"(267, 45, 7, 26, 10, 49, 3, 1, 50, 64, 55, 77, 51)","(3, 5)"
0.083403653,"(459, 32, 7, 39, 32, 43, 28, 2, 42, 153, 31, 70, 60)","(4, 1)"
0.08340354,"(267, 17, 7, 16, 32, 49, 3, 3, 5, 64, 22, 88, 63)","(4, 2)"
0.00888161,"(93, 7, 70, 16, 20, 50, 3, 3, 50, 2162, 7, 88, 51)","(4, 3)"
