score,params,indices
0.13785156206777918,"(0.09256495903335836, 105, 7, 23, 8, 0.8547335987606386, 0.2979660086156414, 0.8254764656065234, 0.6471579114235194)","(0, 0)"
0.2026866605581596,"(0.06397873716594259, 37, 18, 7, 7, 0.7022625438063911, 0.8940398152573124, 0.5426000279884139, 0.7067416916457825)","(0, 1)"
0.06069318096191562,"(0.0030767422218632274, 80, 32, 1, 2, 0.6783971496237756, 0.5849979177368628, 0.6080159047999414, 0.7887401850991953)","(0, 2)"
0.2623088074880734,"(0.08096210262211488, 33, 51, 22, 4, 0.23837675483248558, 0.9519196342640353, 0.6649313271051871, 0.5454454632562725)","(0, 3)"
0.1383461231550975,"(0.009761966045663055, 221, 39, 26, 7, 0.5772430013946837, 0.9660730299416398, 0.6854818448320932, 0.7704999093238812)","(0, 4)"
0.24554791506270915,"(0.08295752595887419, 170, 55, 18, 7, 0.14078370145353938, 0.3028294653298767, 0.6418001021650325, 0.5390980686925775)","(0, 5)"
0.10748987545242958,"(0.08295752595887419, 84, 32, 23, 7, 0.8547335987606386, 0.3028294653298767, 0.8254764656065234, 0.7887401850991953)","(1, 0)"
0.12770894396374796,"(0.08295752595887419, 54, 18, 23, 6, 0.8547335987606386, 0.8940398152573124, 0.6813886738872725, 0.7887401850991953)","(1, 1)"
0.15686842433193274,"(0.026771084422706426, 54, 60, 21, 6, 0.8547335987606386, 0.5849979177368628, 0.6080159047999414, 0.7887401850991953)","(1, 2)"
0.1674686895127882,"(0.026771084422706426, 70, 60, 23, 2, 0.9806757820665698, 0.5849979177368628, 0.6080159047999414, 0.7729053744495766)","(1, 3)"
0.1333593958825396,"(0.009761966045663055, 221, 60, 21, 2, 0.9806757820665698, 0.5849979177368628, 0.9129974408930067, 0.6122335552624112)","(1, 4)"
0.15323925088023582,"(0.03161375950110229, 91, 60, 21, 2, 0.8799671875606753, 0.6833404121124432, 0.9481283189728663, 0.6122335552624112)","(1, 5)"
0.06879605623016581,"(0.08295752595887419, 84, 29, 21, 3, 0.8799671875606753, 0.5996176394052042, 0.9481283189728663, 0.7864471352095348)","(2, 0)"
0.2305706272348326,"(0.04000011046352569, 81, 63, 23, 3, 0.8547335987606386, 0.18090937683467656, 0.6813886738872725, 0.553728073871823)","(2, 1)"
0.16108952349389505,"(0.026771084422706426, 54, 63, 23, 6, 0.8547335987606386, 0.5849979177368628, 0.7068583837318452, 0.686993450388203)","(2, 2)"
0.1327845465980078,"(0.052958523075403795, 54, 62, 23, 8, 0.7414424192305732, 0.5849979177368628, 0.7068583837318452, 0.7631154619003095)","(2, 3)"
