score,params,indices
0.048361428833582944,"(0.001, 188, 51, 1, 2, 0.637316167916533, 0.5849979177368628, 0.8575685754799708, 0.8948514333980759)","(0, 0)"
0.43454028221598845,"(0.06397873716594259, 37, 18, 7, 7, 0.7022625438063911, 0.8940398152573124, 0.5426000279884139, 0.7067416916457825)","(0, 1)"
0.09765596537883475,"(0.0030767422218632274, 80, 32, 1, 2, 0.6783971496237756, 0.5849979177368628, 0.6080159047999414, 0.7887401850991953)","(0, 2)"
0.07331464730396496,"(0.0007492260918382956, 188, 32, 25, 2, 0.4028229597010128, 0.5849979177368628, 0.8575685754799708, 0.8948514333980759)","(1, 0)"
0.1237779442678418,"(0.06397873716594259, 188, 10, 30, 4, 0.7022625438063911, 0.186077575381783, 0.7958257553697766, 0.8948514333980759)","(1, 1)"
0.1668880135692351,"(0.06397873716594259, 188, 51, 25, 4, 0.4028229597010128, 0.5772430013946837, 0.6854818448320932, 0.8948514333980759)","(1, 2)"
0.12807492240827684,"(0.08295752595887419, 188, 39, 25, 2, 0.4028229597010128, 0.5849979177368628, 0.7829025511758134, 0.8948514333980759)","(2, 0)"
0.06519566999192823,"(0.0046778559272006555, 83, 10, 25, 2, 0.7022625438063911, 0.5849979177368628, 0.5390980686925775, 0.8948514333980759)","(2, 1)"
0.105190745004785,"(0.0046778559272006555, 83, 51, 25, 3, 0.7022625438063911, 0.347396506767982, 0.6854818448320932, 0.6787677676953413)","(2, 2)"
