score,params,indices
0.0752419659744024,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.07642554307685179,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.33341863189676246,"(929, 21, 122, 17, 18, 25, 15, 9, 97, 297, 63, 68, 85)","(10, 5)"
0.08342741153815099,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.06232989566862736,"(267, 60, 83, 39, 7, 46, 6, 4, 97, 3277, 55, 77, 83)","(0, 5)"
0.3334186288791891,"(929, 21, 68, 17, 18, 20, 15, 9, 97, 1349, 63, 68, 85)","(10, 3)"
0.08313513824524467,"(229, 45, 83, 60, 7, 3, 11, 4, 97, 2826, 55, 85, 60)","(2, 1)"
0.07708134312478021,"(229, 20, 83, 39, 7, 42, 11, 4, 97, 3277, 21, 85, 60)","(2, 2)"
0.08336349663252006,"(265, 45, 83, 39, 7, 36, 11, 4, 97, 2826, 21, 85, 60)","(3, 3)"
0.3334186288741871,"(229, 45, 83, 39, 9, 42, 11, 4, 97, 2993, 21, 85, 60)","(3, 4)"
0.083302516569836,"(229, 45, 115, 26, 7, 42, 11, 4, 97, 2993, 21, 68, 60)","(3, 5)"
0.06802072705667647,"(265, 45, 115, 63, 7, 33, 11, 1, 97, 242, 21, 68, 60)","(4, 1)"
0.06731379130145694,"(229, 40, 83, 39, 7, 33, 11, 1, 97, 2826, 78, 68, 66)","(4, 4)"
0.33341769898575396,"(229, 40, 83, 26, 3, 25, 11, 1, 97, 2993, 21, 68, 66)","(5, 0)"
0.06297384948586411,"(229, 40, 83, 26, 3, 25, 31, 1, 97, 2993, 21, 68, 66)","(5, 1)"
0.07290635031393117,"(229, 40, 115, 26, 3, 25, 11, 1, 97, 2993, 21, 68, 60)","(5, 2)"
0.08346012152238365,"(229, 40, 83, 46, 3, 33, 11, 9, 97, 2993, 78, 68, 77)","(5, 5)"
0.08342767737631965,"(229, 40, 83, 17, 18, 25, 11, 9, 97, 2993, 63, 68, 77)","(6, 2)"
0.08343175955228697,"(229, 40, 83, 26, 15, 25, 11, 9, 97, 4407, 63, 68, 66)","(7, 0)"
0.08341662271140034,"(229, 40, 122, 17, 18, 25, 15, 9, 97, 1349, 63, 68, 66)","(7, 4)"
0.08341862701592358,"(501, 40, 122, 17, 18, 25, 15, 9, 97, 1349, 63, 68, 66)","(7, 5)"
0.08342054708038464,"(229, 19, 24, 10, 18, 25, 15, 9, 97, 1349, 60, 68, 66)","(8, 4)"
0.08342341660162257,"(229, 19, 122, 17, 18, 25, 15, 9, 97, 1349, 63, 68, 66)","(8, 5)"
0.08342359423401582,"(229, 21, 122, 17, 18, 1, 15, 9, 2, 1349, 63, 68, 66)","(9, 3)"
0.08342101021935983,"(229, 21, 122, 17, 18, 25, 15, 9, 97, 1349, 63, 68, 66)","(9, 4)"
0.08341883836829764,"(929, 21, 68, 17, 18, 25, 15, 9, 97, 297, 63, 68, 85)","(10, 4)"
