score,params,indices
0.06617779805589362,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.08635882894911082,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.14312479540734263,"(199, 41, 70, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(0, 2)"
0.04582692767562502,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.2338547147481757,"(577, 45, 7, 15, 10, 6, 8, 1, 28, 3255, 36, 64, 58)","(0, 4)"
0.08752486192495645,"(267, 60, 83, 39, 7, 46, 6, 4, 97, 3277, 55, 77, 83)","(0, 5)"
0.045707294645974096,"(93, 7, 108, 39, 25, 46, 18, 3, 38, 2826, 82, 74, 84)","(1, 0)"
0.22839657825178436,"(639, 7, 108, 39, 25, 46, 18, 1, 38, 2826, 31, 74, 51)","(1, 1)"
0.08982889955393528,"(93, 7, 84, 39, 25, 46, 18, 3, 38, 2826, 82, 74, 84)","(2, 2)"
0.08982882513299935,"(93, 14, 108, 39, 25, 46, 18, 3, 38, 2826, 82, 74, 84)","(1, 3)"
0.0876931678875328,"(93, 7, 108, 39, 25, 46, 18, 3, 38, 3255, 82, 74, 58)","(1, 4)"
0.04634601905217866,"(93, 7, 108, 60, 25, 46, 18, 3, 38, 2826, 82, 77, 84)","(1, 5)"
0.047729506995290744,"(93, 7, 108, 39, 25, 46, 18, 3, 38, 4487, 82, 74, 84)","(2, 0)"
0.04642802828641804,"(93, 7, 108, 39, 25, 46, 18, 3, 38, 4487, 82, 74, 84)","(2, 1)"
0.0474516774611095,"(93, 14, 108, 39, 25, 25, 18, 3, 38, 4487, 90, 74, 84)","(2, 3)"
0.07330987647728389,"(93, 7, 108, 39, 25, 46, 18, 3, 38, 4487, 82, 74, 68)","(2, 4)"
0.17941353790708545,"(93, 7, 35, 39, 25, 16, 18, 3, 38, 2826, 56, 60, 73)","(2, 5)"
0.05049909055085994,"(93, 7, 35, 39, 25, 46, 18, 9, 38, 2826, 40, 58, 84)","(3, 0)"
0.13462557409829853,"(93, 7, 35, 63, 25, 46, 18, 9, 38, 2826, 40, 58, 84)","(3, 1)"
0.05050942505950399,"(93, 7, 35, 63, 25, 46, 18, 9, 38, 2826, 40, 58, 84)","(3, 2)"
0.04582724609451554,"(93, 7, 35, 39, 25, 46, 18, 9, 38, 2826, 40, 74, 84)","(3, 3)"
0.05050311416169912,"(93, 7, 35, 39, 25, 46, 18, 9, 38, 2609, 40, 58, 84)","(3, 4)"
0.05051479406751302,"(93, 7, 35, 39, 25, 46, 18, 9, 38, 2609, 9, 58, 84)","(3, 5)"
0.050494379387773056,"(93, 7, 35, 39, 25, 46, 18, 9, 38, 2826, 40, 58, 84)","(4, 0)"
0.045595910314701574,"(93, 7, 35, 3, 5, 46, 18, 9, 38, 2826, 40, 75, 84)","(4, 1)"
0.08759422824487163,"(93, 50, 35, 63, 5, 46, 18, 9, 38, 2826, 40, 75, 84)","(4, 2)"
0.0456354344495908,"(93, 7, 35, 63, 5, 27, 18, 9, 38, 2826, 40, 75, 84)","(4, 3)"
0.045605194458441425,"(64, 7, 35, 3, 5, 27, 13, 9, 38, 2826, 40, 75, 84)","(4, 4)"
0.068852369057591,"(64, 7, 35, 3, 5, 27, 18, 9, 38, 2826, 40, 75, 71)","(4, 5)"
0.08759606382677086,"(93, 7, 124, 3, 5, 46, 27, 9, 38, 2826, 40, 75, 84)","(5, 0)"
0.04555113149880994,"(12, 7, 35, 3, 5, 46, 23, 9, 38, 3490, 53, 75, 84)","(5, 1)"
0.04579951035983079,"(12, 7, 35, 3, 5, 46, 23, 3, 38, 3490, 53, 75, 84)","(5, 2)"
0.045549815202459674,"(12, 7, 35, 3, 5, 46, 23, 6, 38, 3490, 53, 75, 84)","(5, 3)"
0.045557368348133474,"(12, 7, 35, 8, 5, 46, 23, 6, 38, 3490, 53, 75, 84)","(5, 4)"
0.06896999979444096,"(64, 7, 35, 3, 5, 46, 18, 6, 38, 3490, 53, 75, 71)","(5, 5)"
0.06888680986612274,"(12, 7, 35, 3, 5, 46, 23, 6, 43, 3490, 40, 75, 71)","(6, 0)"
0.036709581139733265,"(12, 7, 59, 3, 5, 46, 23, 6, 38, 3490, 53, 75, 88)","(6, 1)"
0.04188015311366141,"(12, 7, 112, 3, 5, 46, 23, 6, 38, 3490, 53, 60, 88)","(6, 2)"
0.03673135622333357,"(12, 7, 59, 32, 5, 46, 23, 6, 38, 3490, 53, 75, 88)","(6, 3)"
0.0367150441403864,"(12, 7, 59, 8, 5, 46, 7, 6, 38, 3490, 53, 75, 88)","(6, 4)"
0.03672606724719612,"(12, 7, 59, 8, 5, 46, 23, 6, 38, 3490, 53, 75, 88)","(6, 5)"
0.03674176395983885,"(12, 7, 59, 3, 5, 46, 23, 6, 90, 3490, 53, 75, 88)","(7, 0)"
0.036757917426031704,"(12, 7, 59, 3, 5, 46, 23, 6, 90, 3490, 53, 75, 88)","(7, 1)"
0.03669957862613881,"(12, 7, 59, 3, 5, 46, 23, 6, 90, 3490, 53, 75, 88)","(7, 2)"
0.036805062041120114,"(12, 7, 59, 3, 5, 46, 28, 3, 90, 3490, 53, 75, 88)","(7, 3)"
0.036719271586232824,"(12, 7, 59, 3, 5, 46, 23, 6, 38, 3490, 53, 75, 88)","(7, 4)"
0.036732100880095354,"(12, 7, 59, 3, 5, 46, 23, 6, 90, 3490, 53, 75, 88)","(7, 5)"
0.036714651591624306,"(12, 7, 59, 41, 5, 46, 23, 6, 90, 3490, 53, 75, 88)","(8, 0)"
0.036718334395291354,"(12, 7, 59, 3, 5, 46, 23, 6, 90, 3490, 53, 75, 88)","(8, 1)"
0.0367261787091651,"(12, 7, 59, 3, 5, 10, 23, 6, 90, 3490, 53, 75, 88)","(8, 2)"
0.070972074761399,"(762, 7, 59, 3, 18, 10, 23, 8, 90, 3490, 53, 75, 88)","(8, 3)"
0.03671924496629892,"(12, 7, 59, 3, 5, 34, 2, 6, 90, 3490, 32, 75, 88)","(8, 4)"
0.03671577208715788,"(12, 2, 59, 3, 5, 10, 2, 6, 90, 3490, 53, 75, 88)","(8, 5)"
0.03538822957935036,"(12, 7, 59, 3, 5, 10, 23, 6, 90, 4757, 53, 85, 88)","(9, 0)"
0.035387038694859756,"(12, 7, 59, 3, 5, 46, 23, 8, 90, 4757, 53, 85, 88)","(9, 1)"
0.03541646127325103,"(12, 7, 59, 20, 5, 46, 23, 6, 90, 4757, 53, 85, 88)","(9, 2)"
0.05364220845623581,"(423, 7, 59, 3, 5, 14, 23, 5, 72, 3921, 53, 85, 88)","(10, 5)"
0.03539940114447173,"(58, 7, 59, 3, 28, 46, 23, 8, 90, 4757, 32, 85, 88)","(9, 4)"
0.08567278880871299,"(12, 7, 59, 3, 5, 46, 23, 9, 9, 3490, 53, 69, 52)","(9, 5)"
0.03540043260312107,"(12, 7, 59, 3, 5, 46, 23, 6, 90, 3894, 53, 85, 88)","(10, 0)"
0.03539204761667317,"(12, 7, 59, 3, 5, 46, 23, 8, 90, 3921, 53, 85, 88)","(10, 1)"
0.035404368744441965,"(12, 7, 59, 9, 5, 46, 16, 8, 90, 3921, 53, 85, 88)","(10, 2)"
0.052889940918974344,"(58, 7, 59, 3, 5, 46, 18, 8, 90, 3921, 26, 85, 88)","(10, 3)"
0.03541520420227276,"(12, 7, 111, 3, 5, 46, 23, 8, 90, 3921, 53, 85, 88)","(10, 4)"
