score,params,indices
0.007335202637471651,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.007627797090693524,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.08340353916707988,"(199, 41, 70, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(0, 2)"
0.08342594938200751,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.33340353585926114,"(942, 48, 112, 37, 17, 46, 6, 8, 97, 562, 55, 87, 65)","(10, 5)"
0.3334035393080037,"(942, 56, 4, 37, 17, 46, 6, 8, 97, 562, 55, 87, 65)","(8, 5)"
0.08340354036324119,"(100, 32, 64, 16, 32, 32, 25, 3, 97, 64, 30, 77, 60)","(1, 0)"
0.008664301039356934,"(639, 2, 36, 15, 24, 3, 11, 1, 97, 153, 22, 70, 51)","(1, 1)"
0.08341693211567441,"(100, 7, 70, 14, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(1, 3)"
0.008174644214542288,"(267, 32, 83, 39, 7, 46, 8, 1, 97, 3277, 55, 77, 84)","(1, 5)"
0.012448475652619412,"(100, 32, 64, 16, 32, 46, 25, 3, 97, 64, 30, 76, 60)","(2, 0)"
0.014912478992813512,"(639, 25, 64, 16, 32, 58, 11, 1, 97, 153, 22, 70, 60)","(2, 1)"
0.08336065799892439,"(100, 41, 70, 14, 15, 46, 2, 8, 69, 1742, 16, 88, 63)","(2, 2)"
0.08340605818553778,"(100, 7, 70, 14, 15, 46, 2, 9, 69, 2826, 82, 74, 60)","(2, 3)"
0.08339005925261268,"(100, 32, 64, 37, 32, 46, 25, 3, 97, 64, 88, 76, 65)","(3, 0)"
0.007596722533828334,"(100, 25, 64, 16, 32, 58, 11, 1, 97, 153, 22, 76, 60)","(3, 1)"
0.08340350055135787,"(100, 41, 70, 14, 15, 46, 2, 8, 69, 1742, 16, 88, 89)","(3, 2)"
0.0834245388294129,"(100, 7, 70, 14, 15, 46, 2, 9, 69, 2826, 82, 74, 60)","(3, 3)"
0.010557509745422163,"(100, 32, 64, 37, 32, 46, 3, 3, 97, 562, 88, 76, 65)","(4, 0)"
0.007992603134952094,"(100, 25, 64, 37, 32, 58, 11, 1, 97, 153, 22, 76, 60)","(4, 1)"
0.08339434983346022,"(100, 41, 81, 14, 25, 46, 2, 8, 97, 562, 88, 88, 89)","(4, 2)"
0.08342986337990059,"(100, 7, 55, 14, 15, 46, 2, 8, 97, 2826, 82, 88, 60)","(4, 3)"
0.08340353772098101,"(100, 25, 64, 37, 32, 1, 11, 8, 97, 153, 22, 76, 65)","(5, 1)"
0.08340353824933501,"(100, 41, 81, 46, 25, 46, 2, 8, 97, 562, 88, 88, 65)","(5, 2)"
0.08340155121262528,"(100, 41, 64, 14, 15, 46, 2, 8, 97, 2826, 82, 88, 65)","(5, 3)"
0.08337406294312524,"(100, 25, 64, 37, 18, 1, 11, 8, 97, 1366, 88, 76, 65)","(6, 1)"
0.0834033311898575,"(100, 41, 81, 46, 18, 46, 21, 8, 97, 562, 88, 76, 65)","(6, 2)"
0.08340403055100652,"(100, 41, 64, 8, 15, 46, 2, 8, 97, 2826, 82, 88, 65)","(6, 3)"
0.08340402130483601,"(942, 28, 7, 14, 22, 62, 8, 8, 97, 562, 82, 88, 65)","(6, 4)"
0.3332466868413122,"(953, 56, 64, 37, 17, 46, 3, 8, 97, 562, 88, 60, 65)","(7, 0)"
0.08340442084344594,"(100, 56, 64, 37, 18, 1, 11, 8, 97, 1366, 88, 76, 65)","(7, 1)"
0.08340182584033985,"(100, 56, 81, 37, 18, 46, 21, 8, 97, 2563, 88, 76, 65)","(7, 2)"
0.08340637915228542,"(100, 12, 64, 8, 15, 58, 3, 8, 97, 2826, 86, 61, 65)","(7, 3)"
0.08340367916834197,"(942, 41, 7, 39, 22, 46, 8, 8, 97, 562, 82, 88, 65)","(7, 4)"
0.08304389682039619,"(100, 56, 64, 37, 17, 46, 11, 5, 97, 562, 88, 76, 65)","(8, 1)"
0.008899467879220059,"(100, 12, 64, 8, 18, 58, 3, 5, 97, 2563, 88, 81, 65)","(8, 3)"
0.08340369244821762,"(942, 56, 112, 37, 17, 46, 3, 8, 97, 562, 88, 60, 65)","(9, 0)"
0.009472823494359066,"(100, 56, 64, 37, 26, 46, 11, 3, 97, 562, 88, 76, 65)","(9, 1)"
0.08327622378999858,"(100, 56, 81, 37, 18, 46, 21, 5, 97, 2563, 88, 60, 65)","(9, 2)"
0.010217379980965665,"(100, 12, 112, 37, 18, 58, 3, 5, 6, 2563, 88, 81, 65)","(9, 3)"
0.009535056424768347,"(100, 56, 64, 37, 30, 46, 3, 3, 97, 562, 88, 76, 65)","(10, 1)"
0.009964063597352881,"(100, 56, 81, 37, 18, 46, 21, 3, 9, 562, 88, 60, 65)","(10, 2)"
0.08290034876881461,"(100, 12, 112, 37, 18, 58, 3, 5, 6, 2563, 88, 69, 65)","(10, 3)"
