score,params,indices
0.07631115837932548,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.08341863165666705,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.3334186288791891,"(306, 37, 63, 53, 27, 52, 16, 5, 42, 3819, 33, 78, 60)","(10, 5)"
0.08340420955410965,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.33341863189676246,"(734, 61, 36, 51, 18, 31, 15, 7, 27, 4360, 82, 78, 57)","(10, 1)"
0.08321257309888101,"(267, 60, 83, 39, 7, 46, 6, 4, 97, 3277, 55, 77, 83)","(0, 5)"
0.07267482429742814,"(776, 15, 6, 20, 32, 46, 10, 2, 93, 64, 55, 85, 62)","(1, 0)"
0.08341889142018893,"(655, 25, 117, 29, 9, 16, 10, 6, 26, 64, 58, 85, 62)","(1, 1)"
0.08341829741252776,"(400, 14, 117, 63, 17, 6, 10, 6, 69, 242, 11, 75, 81)","(1, 2)"
0.31714864556606887,"(682, 34, 7, 17, 21, 8, 15, 1, 93, 2323, 94, 85, 60)","(1, 4)"
0.08341863756675436,"(762, 34, 100, 34, 2, 21, 10, 1, 92, 64, 87, 56, 83)","(2, 0)"
0.3334186161960524,"(308, 4, 112, 60, 4, 31, 10, 1, 75, 3921, 13, 69, 71)","(2, 1)"
0.08341882471632346,"(400, 4, 35, 55, 14, 14, 10, 5, 72, 64, 87, 58, 62)","(2, 2)"
0.2909383777491438,"(191, 7, 100, 14, 14, 27, 16, 1, 72, 3447, 97, 59, 53)","(3, 0)"
0.08381034280304485,"(403, 22, 100, 55, 9, 12, 15, 4, 28, 1279, 91, 59, 71)","(3, 1)"
0.08338965393193161,"(297, 7, 124, 37, 18, 48, 16, 6, 6, 2991, 50, 84, 56)","(3, 5)"
0.33341850644892174,"(443, 25, 86, 19, 11, 35, 24, 1, 8, 2346, 98, 89, 52)","(4, 2)"
0.3318572755827976,"(987, 6, 119, 42, 2, 52, 10, 6, 12, 2845, 93, 55, 54)","(4, 4)"
0.08345327456315021,"(107, 35, 119, 18, 2, 48, 20, 7, 20, 3247, 93, 60, 69)","(4, 5)"
0.08337440397661856,"(25, 16, 15, 30, 27, 5, 14, 6, 76, 3846, 20, 65, 77)","(7, 2)"
0.08342248331088468,"(287, 45, 18, 32, 9, 42, 2, 7, 76, 546, 42, 57, 77)","(7, 3)"
0.06921445655319697,"(247, 41, 98, 28, 19, 33, 20, 3, 8, 1681, 29, 60, 62)","(8, 0)"
0.3253243761576588,"(379, 2, 21, 8, 22, 36, 14, 2, 69, 1681, 76, 56, 74)","(9, 2)"
0.33341862003156997,"(312, 43, 96, 11, 30, 25, 14, 3, 71, 1681, 8, 54, 77)","(9, 4)"
0.08342658786062637,"(86, 46, 63, 53, 24, 22, 22, 6, 49, 4060, 10, 58, 77)","(10, 4)"
