score,params,indices
0.007633498540050105,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.008582339958140724,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.0834035782202294,"(199, 41, 70, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(0, 2)"
0.0834139258841935,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.3334035393080037,"(308, 19, 13, 43, 2, 53, 15, 8, 32, 3356, 71, 87, 65)","(9, 5)"
0.008777779968161332,"(100, 32, 64, 49, 7, 46, 8, 1, 97, 3277, 55, 77, 83)","(1, 0)"
0.007957719297785508,"(100, 32, 64, 49, 7, 46, 8, 1, 97, 3277, 22, 77, 83)","(1, 1)"
0.007642897056121575,"(100, 32, 6, 49, 7, 46, 11, 1, 97, 3277, 22, 77, 83)","(1, 2)"
0.008469230255014018,"(100, 32, 6, 49, 26, 46, 11, 1, 27, 3277, 22, 77, 83)","(1, 3)"
0.00837972365398156,"(100, 32, 64, 49, 26, 46, 11, 1, 27, 3255, 22, 64, 83)","(1, 4)"
0.0834048331141668,"(100, 14, 64, 49, 26, 46, 11, 9, 27, 3255, 22, 64, 85)","(1, 5)"
0.007190227545013553,"(100, 14, 64, 49, 7, 46, 11, 1, 27, 3255, 22, 64, 85)","(2, 0)"
0.00672409070792951,"(100, 14, 64, 49, 7, 46, 11, 1, 27, 3255, 22, 64, 85)","(2, 1)"
0.007504115368190564,"(100, 14, 64, 49, 7, 46, 11, 1, 27, 3255, 22, 77, 83)","(2, 2)"
0.0076693020086539415,"(100, 14, 64, 49, 7, 46, 11, 1, 27, 3255, 22, 77, 83)","(2, 3)"
0.00706677557998582,"(100, 14, 64, 49, 7, 46, 11, 1, 27, 3255, 22, 62, 83)","(2, 4)"
0.08340299466879744,"(100, 14, 64, 49, 7, 46, 11, 9, 27, 3356, 22, 64, 65)","(2, 5)"
0.08342142376970303,"(100, 14, 64, 49, 7, 46, 11, 9, 27, 3356, 90, 64, 85)","(3, 0)"
0.009709279865810745,"(100, 14, 64, 49, 7, 46, 11, 5, 26, 3356, 90, 64, 85)","(3, 1)"
0.00865964088785021,"(100, 16, 64, 49, 7, 46, 11, 1, 26, 3356, 90, 64, 85)","(3, 2)"
0.33340353585926114,"(585, 17, 115, 49, 7, 46, 11, 1, 27, 3356, 22, 64, 65)","(3, 5)"
0.007418018294008155,"(100, 17, 64, 49, 8, 46, 31, 1, 27, 3356, 50, 64, 65)","(4, 0)"
0.0063807317818465985,"(100, 17, 64, 49, 7, 46, 31, 1, 27, 3356, 50, 64, 85)","(4, 1)"
0.008302920319532094,"(100, 17, 13, 49, 7, 46, 31, 1, 27, 3356, 50, 64, 51)","(4, 2)"
0.007303388418335664,"(100, 17, 13, 49, 7, 46, 31, 1, 27, 562, 62, 64, 51)","(4, 3)"
0.08306437749175453,"(792, 17, 13, 49, 7, 46, 31, 4, 27, 562, 62, 64, 65)","(4, 5)"
0.008365241676568986,"(64, 17, 50, 49, 31, 46, 31, 1, 27, 3356, 62, 71, 65)","(5, 0)"
0.007134062733305128,"(64, 17, 50, 62, 31, 46, 31, 1, 27, 3356, 62, 71, 65)","(5, 1)"
0.010496085421035164,"(64, 55, 50, 62, 31, 46, 31, 1, 27, 59, 71, 71, 65)","(5, 2)"
0.00817358838413891,"(100, 55, 50, 62, 7, 46, 31, 1, 27, 59, 71, 64, 65)","(5, 3)"
0.00778321630468494,"(100, 55, 13, 62, 7, 46, 31, 1, 27, 59, 71, 71, 65)","(5, 4)"
0.008643803195733773,"(100, 17, 13, 43, 7, 46, 31, 1, 27, 59, 71, 71, 65)","(5, 5)"
0.0071610393602597085,"(100, 17, 13, 43, 7, 46, 31, 1, 27, 59, 71, 71, 65)","(6, 0)"
0.008096923054833161,"(100, 17, 13, 43, 31, 46, 18, 1, 27, 3356, 71, 71, 65)","(6, 1)"
0.008315324271980085,"(100, 17, 13, 43, 10, 46, 18, 1, 27, 3356, 63, 71, 65)","(6, 2)"
0.008183103441407807,"(100, 17, 13, 43, 10, 46, 18, 1, 27, 3356, 71, 71, 65)","(6, 3)"
