score,params,indices
0.005654609665666756,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.3331461901933347,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.3334035393080037,"(730, 27, 50, 60, 2, 34, 8, 3, 30, 3327, 26, 89, 55)","(10, 5)"
0.08341052014508138,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.33340353585926114,"(730, 27, 50, 60, 2, 34, 8, 3, 30, 4466, 76, 89, 71)","(10, 4)"
0.3334034340231563,"(267, 17, 33, 26, 7, 37, 28, 4, 22, 3255, 98, 81, 60)","(3, 1)"
0.3334035358592524,"(267, 28, 50, 1, 7, 17, 28, 4, 22, 2323, 94, 81, 51)","(5, 3)"
0.3285566578803639,"(267, 28, 50, 1, 7, 17, 17, 8, 22, 2749, 94, 81, 51)","(6, 0)"
0.08338565886716702,"(267, 28, 50, 1, 7, 17, 17, 8, 22, 915, 94, 81, 51)","(6, 1)"
0.08333799089707042,"(267, 28, 50, 1, 7, 58, 17, 8, 22, 915, 94, 81, 51)","(6, 2)"
0.3077381223018624,"(870, 28, 50, 1, 7, 34, 25, 8, 30, 915, 94, 56, 71)","(7, 4)"
0.3162375609619837,"(870, 28, 50, 1, 2, 34, 17, 8, 30, 100, 94, 75, 51)","(8, 0)"
0.3239874589837303,"(870, 28, 50, 60, 2, 34, 17, 1, 30, 4466, 76, 71, 55)","(10, 0)"
