score,params,indices
0.007797456,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.008752636,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.08340356,"(199, 41, 70, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(0, 2)"
0.083379222,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.333403536,"(539, 56, 100, 56, 32, 34, 12, 4, 50, 1349, 50, 73, 59)","(10, 4)"
0.011121376,"(267, 60, 83, 39, 7, 46, 6, 4, 97, 3277, 55, 77, 83)","(0, 5)"
0.08340357,"(100, 32, 64, 16, 32, 32, 3, 4, 50, 64, 30, 60, 60)","(1, 0)"
0.083403538,"(100, 32, 99, 16, 32, 15, 2, 4, 50, 64, 30, 62, 60)","(1, 1)"
0.083083144,"(100, 32, 64, 16, 32, 15, 10, 4, 50, 64, 30, 88, 60)","(1, 2)"
0.083401596,"(100, 32, 64, 16, 32, 15, 18, 9, 50, 2826, 30, 58, 60)","(1, 3)"
0.083403538,"(100, 32, 120, 56, 11, 6, 3, 4, 50, 64, 30, 60, 58)","(1, 4)"
0.083403642,"(267, 60, 64, 16, 7, 32, 3, 4, 50, 64, 55, 60, 60)","(1, 5)"
0.08326172,"(100, 42, 64, 16, 32, 32, 13, 4, 50, 64, 30, 60, 60)","(2, 0)"
0.083403563,"(100, 42, 64, 16, 32, 32, 13, 4, 50, 64, 30, 60, 60)","(2, 1)"
0.010603217,"(100, 42, 64, 58, 32, 32, 13, 4, 50, 64, 30, 60, 68)","(2, 2)"
0.083403572,"(100, 42, 64, 16, 32, 32, 13, 4, 50, 64, 30, 60, 60)","(2, 3)"
0.011031487,"(100, 42, 64, 16, 32, 32, 13, 4, 50, 64, 30, 60, 60)","(2, 4)"
0.083403538,"(100, 42, 64, 16, 32, 32, 13, 4, 50, 64, 56, 60, 60)","(2, 5)"
0.011371675,"(100, 42, 35, 16, 32, 32, 13, 4, 50, 64, 30, 73, 60)","(3, 0)"
0.083397813,"(100, 42, 35, 16, 28, 32, 13, 4, 50, 64, 30, 58, 60)","(3, 1)"
0.083403538,"(100, 42, 35, 16, 32, 32, 13, 4, 50, 64, 98, 73, 60)","(3, 2)"
0.083403542,"(100, 42, 35, 16, 32, 32, 13, 4, 50, 64, 30, 70, 60)","(3, 3)"
0.083403549,"(100, 42, 13, 16, 32, 32, 13, 4, 50, 64, 30, 70, 60)","(3, 4)"
0.0834001,"(100, 3, 35, 16, 32, 32, 13, 4, 50, 64, 30, 73, 54)","(3, 5)"
0.083403587,"(627, 3, 35, 16, 32, 32, 13, 8, 50, 64, 30, 73, 54)","(4, 0)"
0.08340467,"(627, 3, 35, 16, 32, 32, 14, 8, 50, 64, 30, 73, 52)","(4, 1)"
0.088873794,"(100, 25, 35, 16, 32, 32, 13, 8, 50, 64, 98, 89, 54)","(4, 2)"
0.083403548,"(627, 3, 35, 16, 32, 32, 13, 8, 52, 64, 30, 73, 54)","(4, 3)"
0.083403571,"(627, 62, 35, 55, 32, 32, 13, 8, 50, 64, 2, 73, 54)","(4, 4)"
0.083404063,"(627, 3, 35, 46, 32, 32, 13, 8, 50, 64, 30, 73, 54)","(4, 5)"
0.083403595,"(682, 3, 35, 16, 32, 34, 13, 8, 50, 64, 27, 73, 54)","(5, 0)"
0.08340541,"(682, 3, 35, 16, 32, 34, 13, 8, 50, 64, 27, 73, 54)","(5, 1)"
0.08340362,"(682, 3, 35, 16, 32, 34, 13, 8, 50, 64, 27, 73, 54)","(5, 2)"
0.083403621,"(682, 3, 35, 16, 32, 34, 13, 6, 50, 64, 27, 73, 54)","(5, 3)"
0.083404165,"(682, 3, 35, 16, 32, 34, 5, 8, 50, 64, 27, 73, 54)","(5, 4)"
0.200934521,"(682, 28, 59, 46, 32, 34, 13, 8, 50, 64, 94, 73, 54)","(5, 5)"
0.333403539,"(682, 56, 100, 56, 32, 34, 21, 4, 50, 1128, 50, 73, 54)","(10, 5)"
0.08340069,"(324, 56, 4, 16, 29, 34, 13, 8, 50, 1349, 50, 73, 54)","(7, 2)"
0.083404252,"(324, 56, 4, 16, 28, 34, 13, 8, 50, 1349, 50, 73, 54)","(7, 3)"
