score,params,indices
0.0691769682185348,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.33341863189676246,"(530, 60, 9, 14, 23, 49, 18, 8, 32, 1030, 4, 70, 69)","(10, 4)"
0.08341862796883211,"(199, 41, 70, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(0, 2)"
0.08359605386434003,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.3334186288791891,"(530, 60, 9, 14, 11, 49, 18, 9, 32, 1030, 4, 70, 69)","(10, 5)"
0.08335331376675335,"(247, 60, 41, 60, 13, 6, 21, 4, 69, 1173, 56, 60, 83)","(2, 5)"
0.0670108833638451,"(247, 60, 41, 60, 13, 6, 9, 4, 58, 1173, 4, 60, 83)","(3, 0)"
0.08337091971379336,"(247, 60, 41, 60, 13, 6, 9, 4, 58, 1173, 88, 60, 65)","(3, 1)"
0.0828243451761058,"(247, 60, 41, 14, 13, 6, 9, 4, 45, 1173, 88, 60, 65)","(3, 2)"
0.3333989397659564,"(510, 60, 41, 60, 13, 6, 9, 9, 45, 1173, 4, 60, 53)","(3, 4)"
0.08341119519391399,"(247, 60, 41, 3, 5, 6, 9, 6, 45, 1173, 4, 60, 83)","(4, 0)"
0.08341436127517515,"(247, 60, 41, 3, 14, 6, 9, 6, 45, 1173, 4, 60, 83)","(4, 1)"
0.08341869625350451,"(247, 60, 41, 3, 14, 6, 9, 6, 45, 1173, 4, 60, 83)","(4, 2)"
0.08341928464137233,"(247, 60, 41, 60, 14, 6, 9, 6, 45, 1173, 4, 60, 52)","(4, 3)"
0.08340877883268467,"(247, 60, 127, 60, 14, 25, 9, 6, 45, 1173, 4, 60, 53)","(4, 5)"
0.08341022100748585,"(247, 60, 127, 60, 14, 25, 9, 5, 45, 1173, 4, 60, 53)","(5, 0)"
0.08342612384957836,"(247, 60, 127, 60, 14, 25, 9, 6, 45, 1173, 4, 60, 53)","(5, 1)"
0.08341440424124194,"(247, 60, 69, 60, 10, 25, 9, 6, 67, 3690, 4, 60, 53)","(6, 4)"
