score,params,indices
0.007427556,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.007628517,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.333403536,"(404, 61, 51, 46, 4, 44, 20, 1, 61, 3955, 84, 74, 54)","(9, 5)"
0.083408112,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.333403539,"(758, 44, 121, 41, 16, 50, 4, 2, 34, 3542, 31, 74, 73)","(10, 5)"
0.083404951,"(100, 49, 30, 3, 11, 17, 8, 9, 86, 3277, 31, 76, 65)","(1, 0)"
0.083413278,"(91, 3, 70, 16, 5, 40, 25, 4, 7, 1954, 98, 88, 71)","(1, 2)"
0.083404074,"(93, 62, 110, 1, 5, 40, 23, 9, 7, 3277, 31, 88, 77)","(1, 3)"
0.083403561,"(238, 55, 86, 14, 7, 1, 5, 9, 56, 2420, 77, 82, 87)","(2, 5)"
0.012893838,"(58, 37, 65, 3, 4, 28, 27, 5, 16, 4919, 26, 53, 57)","(4, 0)"
0.32296102,"(316, 48, 11, 29, 31, 63, 4, 2, 26, 4919, 92, 53, 85)","(4, 3)"
0.0095713,"(58, 56, 48, 29, 31, 17, 6, 2, 82, 3602, 6, 74, 89)","(4, 4)"
0.008816517,"(277, 1, 99, 41, 9, 28, 24, 5, 42, 50, 8, 85, 86)","(5, 1)"
0.010282607,"(210, 35, 65, 37, 9, 7, 4, 3, 77, 4526, 92, 53, 66)","(5, 3)"
0.008706792,"(58, 40, 21, 59, 27, 13, 21, 2, 96, 4635, 92, 82, 66)","(5, 4)"
0.010778394,"(108, 55, 110, 15, 26, 29, 21, 3, 78, 1166, 3, 60, 66)","(6, 0)"
0.010666788,"(108, 13, 43, 15, 27, 29, 31, 5, 78, 1166, 28, 75, 65)","(6, 1)"
0.083396307,"(719, 40, 95, 15, 17, 43, 19, 4, 96, 359, 66, 63, 62)","(6, 4)"
0.01023082,"(25, 16, 79, 19, 16, 54, 4, 4, 62, 996, 69, 87, 69)","(7, 3)"
0.011063044,"(25, 16, 84, 19, 2, 54, 19, 4, 74, 3942, 11, 63, 67)","(7, 4)"
0.083403629,"(286, 18, 42, 35, 6, 15, 23, 7, 70, 329, 40, 71, 66)","(8, 2)"
0.083403548,"(987, 14, 54, 58, 16, 37, 23, 7, 84, 329, 69, 71, 66)","(8, 3)"
0.083338333,"(546, 57, 77, 39, 8, 23, 8, 4, 3, 1721, 67, 82, 79)","(8, 5)"
0.083403628,"(404, 57, 77, 11, 16, 9, 23, 5, 61, 139, 39, 72, 51)","(9, 0)"
0.083403719,"(652, 48, 121, 13, 2, 10, 5, 7, 56, 139, 22, 77, 80)","(9, 3)"
0.083403499,"(168, 48, 77, 39, 24, 8, 26, 9, 11, 132, 31, 77, 51)","(9, 4)"
0.08340365,"(983, 50, 45, 27, 16, 24, 23, 5, 34, 139, 84, 83, 82)","(10, 0)"
0.083362594,"(106, 50, 123, 41, 26, 45, 23, 4, 72, 139, 95, 63, 60)","(10, 1)"
0.333278839,"(465, 39, 121, 24, 26, 2, 27, 2, 56, 1086, 79, 63, 85)","(10, 3)"
0.083403546,"(465, 45, 121, 27, 10, 1, 23, 9, 93, 439, 84, 78, 69)","(10, 4)"
