score,params,indices
0.09426508649271362,"(0.001, 64, 32, 3, 1, 0.5, 0.3, 0.6, 0.6)","(0, 0)"
0.2513344125277331,"(0.06397873716594259, 37, 18, 7, 7, 0.7022625438063911, 0.8940398152573124, 0.5426000279884139, 0.7067416916457825)","(0, 1)"
0.05933568992582308,"(0.0030767422218632274, 80, 32, 1, 2, 0.6783971496237756, 0.5849979177368628, 0.6080159047999414, 0.7887401850991953)","(0, 2)"
0.03482459997441493,"(0.001, 80, 51, 1, 2, 0.6783971496237756, 0.5849979177368628, 0.6080159047999414, 0.8948514333980759)","(1, 0)"
0.1615729054930259,"(0.001, 188, 18, 11, 2, 0.7022625438063911, 0.5849979177368628, 0.9690344053813228, 0.5454454632562725)","(1, 1)"
0.04105809570169773,"(0.001, 188, 7, 1, 2, 0.637316167916533, 0.5849979177368628, 0.8575685754799708, 0.8948514333980759)","(1, 2)"
0.04584360628002355,"(0.001, 188, 51, 1, 2, 0.637316167916533, 0.5849979177368628, 0.8575685754799708, 0.8948514333980759)","(2, 0)"
0.05581494193194675,"(0.09731426482153913, 116, 18, 1, 2, 0.637316167916533, 0.8381701511851655, 0.8575685754799708, 0.8948514333980759)","(2, 1)"
0.21636077519379507,"(0.08618451934104665, 161, 45, 2, 3, 0.637316167916533, 0.8381701511851655, 0.8575685754799708, 0.5390980686925775)","(2, 2)"
