score,params,indices
0.07821959857828915,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.07698738965613153,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.0834181493961924,"(199, 41, 70, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(0, 2)"
0.08341723472502825,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.33341863189676246,"(639, 33, 64, 15, 24, 43, 8, 1, 43, 1356, 52, 75, 51)","(5, 4)"
0.06521363726738469,"(267, 60, 83, 39, 7, 46, 6, 4, 97, 3277, 55, 77, 83)","(0, 5)"
0.07391341243277463,"(100, 32, 64, 16, 32, 49, 3, 1, 97, 1173, 30, 60, 51)","(1, 0)"
0.06067048939769073,"(639, 2, 36, 15, 24, 43, 11, 1, 42, 153, 22, 70, 51)","(1, 1)"
0.3334186288791891,"(639, 41, 64, 8, 24, 43, 24, 1, 43, 1356, 52, 71, 51)","(6, 4)"
0.06892827486862307,"(93, 7, 108, 15, 24, 46, 18, 1, 38, 2826, 82, 74, 84)","(1, 3)"
0.06768788416057711,"(100, 32, 64, 15, 32, 49, 3, 1, 97, 1611, 30, 60, 51)","(2, 0)"
0.0685653633453533,"(100, 42, 64, 15, 24, 43, 11, 1, 42, 153, 22, 70, 51)","(2, 1)"
0.06214917040158473,"(93, 7, 108, 58, 24, 46, 18, 1, 45, 153, 82, 74, 84)","(2, 3)"
0.09643737584200052,"(100, 7, 7, 15, 10, 56, 8, 1, 28, 1356, 36, 64, 84)","(2, 4)"
0.0734710446152779,"(247, 32, 64, 15, 10, 49, 3, 1, 97, 1611, 30, 72, 51)","(3, 0)"
0.07192912604052411,"(100, 32, 64, 15, 24, 43, 9, 1, 58, 153, 22, 70, 85)","(3, 1)"
0.06748300272163928,"(93, 33, 13, 58, 24, 43, 3, 1, 58, 153, 11, 74, 84)","(3, 3)"
0.06816729366126686,"(100, 33, 7, 15, 10, 56, 8, 1, 58, 1356, 36, 64, 84)","(3, 4)"
0.08341862973774952,"(267, 60, 64, 39, 10, 43, 9, 4, 62, 153, 55, 77, 83)","(3, 5)"
0.0844957033119848,"(100, 32, 101, 15, 10, 27, 3, 1, 58, 1611, 30, 72, 51)","(4, 0)"
0.07526009495410582,"(100, 32, 64, 15, 24, 43, 9, 1, 58, 326, 22, 70, 51)","(4, 1)"
0.07979315893767434,"(93, 33, 13, 15, 24, 43, 3, 1, 58, 153, 52, 74, 87)","(4, 3)"
0.06578535692977107,"(100, 33, 64, 15, 10, 56, 8, 1, 58, 1356, 52, 64, 84)","(4, 4)"
0.08341864903857622,"(267, 62, 64, 39, 10, 43, 9, 8, 2, 153, 71, 77, 77)","(4, 5)"
0.0683997057992822,"(100, 32, 64, 39, 10, 34, 3, 1, 58, 1611, 30, 72, 51)","(5, 0)"
