score,params,indices
0.07485321794357866,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.0830042906614947,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.0834183594211936,"(199, 41, 70, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(0, 2)"
0.08347155815526329,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.3334186288791891,"(577, 45, 7, 15, 10, 6, 8, 1, 28, 3255, 36, 64, 58)","(0, 4)"
0.33341863189676246,"(267, 60, 83, 39, 7, 46, 6, 4, 97, 3277, 55, 77, 83)","(0, 5)"
0.06669587665963965,"(100, 32, 64, 39, 32, 32, 3, 1, 50, 64, 55, 60, 81)","(1, 0)"
0.07278780270167781,"(100, 32, 64, 39, 32, 43, 3, 1, 50, 64, 55, 60, 59)","(1, 1)"
0.07970409592675508,"(100, 32, 70, 39, 32, 32, 3, 1, 69, 64, 55, 60, 81)","(1, 2)"
0.06986299296817207,"(93, 32, 64, 39, 32, 32, 3, 1, 69, 64, 55, 60, 81)","(1, 3)"
0.09476482792450186,"(100, 32, 64, 39, 2, 32, 3, 1, 50, 64, 31, 60, 81)","(1, 4)"
0.08341862817936221,"(100, 32, 83, 39, 32, 32, 3, 4, 50, 64, 27, 60, 81)","(1, 5)"
0.08341865282996422,"(100, 32, 64, 39, 8, 32, 3, 9, 50, 64, 27, 60, 81)","(2, 0)"
0.08341880897146381,"(100, 56, 64, 39, 8, 32, 3, 9, 50, 64, 27, 60, 81)","(2, 1)"
0.083422605328612,"(100, 32, 64, 39, 8, 32, 3, 9, 50, 64, 27, 60, 81)","(2, 2)"
0.08342294507151436,"(100, 32, 64, 39, 8, 20, 3, 9, 50, 64, 27, 76, 81)","(2, 3)"
0.08341862976814851,"(396, 32, 64, 39, 8, 32, 3, 9, 50, 64, 90, 60, 81)","(2, 4)"
0.08341863179630588,"(100, 32, 64, 39, 8, 32, 3, 5, 50, 64, 90, 60, 81)","(2, 5)"
0.08341862924731648,"(265, 32, 64, 39, 8, 32, 3, 9, 50, 64, 27, 60, 81)","(3, 0)"
0.08341863128354254,"(265, 32, 64, 39, 8, 32, 3, 9, 50, 64, 25, 60, 81)","(3, 1)"
0.08341868039845225,"(265, 32, 64, 39, 8, 32, 3, 9, 50, 64, 27, 60, 81)","(3, 2)"
0.08341862804317714,"(265, 32, 72, 39, 8, 32, 3, 9, 50, 64, 27, 60, 81)","(3, 3)"
0.08342054773772926,"(265, 32, 35, 39, 8, 32, 3, 9, 50, 64, 27, 60, 81)","(3, 4)"
0.08341863109045984,"(265, 32, 64, 39, 8, 32, 3, 9, 58, 64, 90, 60, 85)","(3, 5)"
0.08341713468978881,"(400, 32, 64, 39, 8, 32, 3, 9, 50, 64, 27, 60, 81)","(4, 0)"
0.08341864082763387,"(400, 32, 64, 39, 8, 32, 3, 9, 50, 64, 27, 60, 81)","(4, 1)"
0.08341863368908205,"(400, 32, 64, 39, 8, 32, 3, 9, 50, 64, 27, 89, 81)","(4, 2)"
0.07343193847123924,"(400, 32, 66, 39, 8, 32, 3, 1, 50, 64, 27, 60, 81)","(4, 3)"
0.08341869046551931,"(400, 32, 64, 39, 8, 32, 3, 9, 50, 64, 27, 60, 81)","(4, 4)"
0.0834186404819012,"(400, 32, 64, 39, 8, 32, 3, 9, 50, 64, 27, 60, 51)","(4, 5)"
0.08341867371439657,"(400, 32, 64, 39, 8, 32, 3, 9, 50, 64, 27, 60, 51)","(5, 0)"
0.083418639542897,"(400, 32, 64, 39, 8, 32, 3, 9, 50, 64, 27, 60, 54)","(5, 1)"
0.08341867549054902,"(400, 32, 81, 39, 8, 32, 3, 8, 50, 64, 27, 60, 81)","(5, 2)"
0.08341863991923706,"(400, 32, 64, 39, 8, 32, 3, 8, 50, 64, 27, 60, 81)","(5, 3)"
0.08341867617555344,"(400, 32, 64, 39, 8, 32, 3, 8, 42, 64, 27, 60, 52)","(5, 4)"
0.08341864655252851,"(400, 32, 64, 39, 8, 32, 3, 9, 50, 64, 27, 60, 51)","(5, 5)"
0.08341864162664193,"(382, 32, 64, 39, 31, 32, 17, 9, 50, 64, 27, 60, 88)","(6, 0)"
0.08341863042739865,"(382, 32, 64, 39, 31, 32, 27, 9, 50, 59, 27, 60, 88)","(6, 1)"
0.08341863527533758,"(382, 46, 64, 39, 8, 32, 3, 9, 50, 64, 27, 60, 88)","(6, 2)"
0.08341862807726806,"(382, 32, 64, 39, 22, 32, 17, 9, 50, 64, 53, 60, 88)","(6, 3)"
0.07121228351998513,"(400, 17, 82, 39, 31, 32, 17, 2, 50, 64, 27, 60, 52)","(6, 4)"
0.08341880954850865,"(435, 32, 64, 39, 31, 32, 17, 9, 50, 64, 27, 60, 88)","(6, 5)"
0.08341863215796749,"(382, 32, 64, 39, 15, 32, 17, 9, 50, 64, 27, 60, 88)","(7, 0)"
0.0834186314757618,"(382, 32, 122, 39, 15, 32, 17, 8, 50, 64, 26, 70, 88)","(7, 1)"
0.08341876915435704,"(382, 32, 64, 39, 15, 32, 17, 9, 50, 64, 27, 60, 57)","(7, 2)"
0.08341863055974293,"(382, 32, 64, 39, 15, 32, 17, 9, 90, 64, 27, 60, 84)","(7, 3)"
0.06536677150851321,"(400, 32, 64, 19, 15, 32, 17, 2, 50, 64, 27, 60, 75)","(7, 4)"
0.07446514240006352,"(400, 39, 64, 19, 15, 32, 17, 2, 50, 64, 27, 60, 88)","(7, 5)"
0.06343239273713983,"(400, 32, 64, 19, 24, 32, 17, 2, 50, 64, 27, 71, 88)","(8, 0)"
0.06443533020670457,"(400, 32, 64, 19, 24, 32, 17, 2, 50, 64, 27, 71, 88)","(8, 1)"
0.06145208491312573,"(400, 32, 100, 19, 24, 32, 17, 2, 50, 64, 27, 71, 88)","(8, 2)"
0.0834268122527372,"(1, 32, 64, 19, 24, 32, 17, 2, 50, 64, 32, 71, 88)","(8, 3)"
0.06637328102865525,"(20, 32, 64, 19, 24, 59, 17, 2, 50, 64, 27, 71, 88)","(8, 4)"
0.08341863196789194,"(400, 32, 100, 19, 28, 32, 17, 8, 50, 64, 27, 71, 88)","(8, 5)"
0.06881613802269597,"(400, 32, 100, 19, 24, 32, 17, 2, 50, 64, 27, 62, 88)","(9, 0)"
0.06578035701514053,"(400, 32, 100, 19, 24, 32, 17, 2, 50, 64, 6, 71, 88)","(9, 1)"
0.08341869802152871,"(400, 32, 100, 19, 24, 32, 17, 2, 50, 64, 27, 71, 88)","(9, 2)"
