score,params,indices
0.007837633655259484,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.007460184111406929,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.08339633346496052,"(199, 41, 70, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(0, 2)"
0.08341319476724847,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.3334035393080037,"(960, 53, 82, 6, 28, 16, 15, 7, 43, 4862, 60, 74, 84)","(10, 2)"
0.08298297482949535,"(267, 60, 83, 39, 7, 46, 6, 4, 97, 3277, 55, 77, 83)","(0, 5)"
0.0834035385674552,"(267, 49, 30, 15, 2, 20, 28, 3, 21, 64, 93, 85, 62)","(1, 0)"
0.33340353585926114,"(880, 44, 83, 31, 4, 27, 25, 1, 22, 3542, 48, 62, 73)","(10, 5)"
0.08340354176493067,"(93, 63, 127, 39, 17, 20, 31, 8, 78, 59, 71, 77, 71)","(1, 3)"
0.08339926583952222,"(778, 25, 111, 15, 2, 34, 9, 1, 32, 100, 93, 87, 85)","(2, 0)"
0.008907700621768048,"(70, 25, 97, 49, 5, 30, 18, 1, 26, 4466, 42, 58, 71)","(2, 2)"
0.0834035415805288,"(730, 25, 27, 20, 31, 4, 21, 8, 78, 59, 43, 70, 54)","(2, 3)"
0.008974341837983383,"(225, 22, 35, 41, 19, 4, 8, 2, 7, 3231, 58, 59, 86)","(2, 4)"
0.08340099474836729,"(97, 28, 55, 29, 2, 30, 23, 7, 47, 5038, 10, 66, 63)","(3, 0)"
0.33339955793310727,"(443, 55, 71, 29, 3, 30, 31, 1, 82, 1279, 95, 87, 83)","(3, 2)"
0.008641671268563522,"(167, 31, 28, 29, 14, 4, 13, 1, 97, 1279, 95, 60, 81)","(3, 3)"
0.2994187026028706,"(455, 22, 55, 61, 31, 36, 23, 1, 16, 1519, 95, 59, 73)","(3, 4)"
0.012964370473435051,"(542, 48, 9, 37, 17, 54, 28, 2, 95, 411, 80, 57, 73)","(3, 5)"
0.08340355310456729,"(167, 17, 119, 27, 28, 29, 30, 8, 37, 808, 82, 87, 78)","(4, 3)"
0.08340515229576512,"(93, 16, 55, 18, 19, 1, 25, 9, 63, 1341, 73, 72, 67)","(5, 0)"
0.017891123577168114,"(10, 16, 11, 56, 29, 1, 30, 5, 82, 3667, 24, 65, 67)","(5, 1)"
0.08281904985559614,"(210, 16, 14, 50, 28, 20, 14, 6, 16, 4761, 85, 89, 82)","(5, 3)"
0.3334035196788609,"(210, 56, 11, 2, 24, 21, 29, 8, 85, 4151, 24, 60, 67)","(5, 4)"
0.0834035409404651,"(728, 16, 2, 59, 18, 46, 24, 7, 36, 359, 66, 63, 62)","(6, 3)"
0.08340362901637624,"(848, 46, 39, 20, 14, 26, 5, 7, 29, 652, 66, 66, 87)","(6, 4)"
0.08339993618992403,"(247, 41, 98, 42, 17, 33, 8, 6, 27, 397, 29, 60, 62)","(8, 0)"
0.008000821352005005,"(212, 21, 97, 24, 24, 53, 9, 1, 27, 2778, 2, 71, 89)","(9, 0)"
0.08328261000611574,"(115, 52, 17, 61, 24, 14, 5, 7, 3, 1597, 67, 71, 88)","(9, 3)"
0.33324391307328877,"(960, 25, 82, 22, 4, 42, 26, 7, 43, 3757, 95, 60, 82)","(10, 0)"
0.08340386433095524,"(379, 34, 82, 2, 28, 42, 27, 7, 18, 1086, 79, 63, 84)","(10, 3)"
