score,params,indices
0.008035313843112242,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.3334035393080037,"(501, 46, 64, 43, 25, 40, 8, 5, 18, 4682, 78, 71, 68)","(7, 5)"
0.08340354491990844,"(199, 41, 70, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(0, 2)"
0.08333479450613653,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.33340353585926114,"(577, 45, 7, 15, 10, 6, 8, 1, 28, 3255, 36, 64, 58)","(0, 4)"
0.007760090572269339,"(100, 32, 64, 16, 25, 32, 6, 1, 23, 165, 30, 60, 62)","(1, 0)"
0.009117186866308514,"(100, 32, 64, 16, 24, 32, 6, 3, 23, 165, 21, 60, 62)","(1, 1)"
0.0834035662379802,"(100, 60, 64, 56, 19, 51, 6, 8, 23, 165, 30, 60, 63)","(1, 2)"
0.007882409756120883,"(100, 32, 64, 16, 25, 51, 6, 1, 38, 165, 30, 60, 84)","(1, 3)"
0.007746029003670341,"(100, 32, 64, 16, 25, 6, 11, 1, 38, 165, 30, 60, 84)","(1, 4)"
0.00875288083835652,"(267, 32, 84, 16, 25, 6, 11, 1, 38, 165, 30, 60, 83)","(1, 5)"
0.0089393392518947,"(100, 32, 64, 16, 25, 6, 11, 1, 38, 165, 30, 65, 84)","(2, 0)"
0.007414776996562356,"(100, 32, 64, 16, 25, 6, 11, 1, 38, 4682, 30, 60, 68)","(2, 1)"
0.08340297497696195,"(100, 32, 64, 17, 25, 6, 9, 6, 38, 165, 30, 60, 63)","(2, 2)"
0.009697830214312203,"(100, 17, 64, 16, 25, 6, 11, 1, 38, 4682, 30, 60, 68)","(2, 3)"
0.0077529726326465605,"(100, 32, 64, 16, 25, 6, 11, 1, 38, 4682, 30, 60, 84)","(2, 4)"
0.010262623291266593,"(267, 32, 64, 16, 25, 6, 11, 6, 38, 4682, 88, 60, 68)","(2, 5)"
0.009088139264207137,"(100, 32, 64, 16, 25, 6, 11, 1, 38, 4682, 30, 60, 68)","(3, 0)"
0.007902411903205672,"(100, 32, 64, 16, 25, 26, 8, 1, 38, 4682, 30, 60, 68)","(3, 1)"
0.00765140561837899,"(100, 32, 64, 63, 25, 26, 8, 1, 38, 4682, 30, 60, 68)","(3, 2)"
0.007491136767362293,"(100, 32, 64, 16, 25, 26, 8, 1, 38, 4682, 30, 60, 68)","(3, 3)"
0.008599404527952796,"(100, 32, 64, 16, 25, 26, 8, 1, 38, 4682, 30, 60, 68)","(3, 4)"
0.007850514035475882,"(100, 32, 64, 16, 25, 26, 11, 1, 38, 4682, 30, 60, 68)","(3, 5)"
0.007538976230119404,"(100, 32, 66, 16, 25, 6, 8, 1, 5, 4682, 30, 60, 68)","(4, 0)"
0.007064716141474875,"(110, 32, 64, 16, 25, 40, 8, 1, 38, 4682, 78, 60, 68)","(4, 1)"
0.007994974354380055,"(110, 32, 64, 16, 25, 40, 8, 1, 38, 4682, 78, 60, 68)","(4, 2)"
0.009414895546279455,"(422, 32, 64, 16, 25, 40, 8, 1, 38, 326, 78, 60, 68)","(4, 3)"
0.0074628725506757435,"(110, 32, 64, 25, 25, 26, 8, 1, 38, 4682, 78, 60, 68)","(4, 4)"
0.008299510064877962,"(110, 32, 64, 16, 25, 26, 8, 1, 38, 5100, 78, 60, 68)","(4, 5)"
0.009707712607948404,"(110, 32, 64, 16, 25, 40, 8, 1, 38, 4682, 78, 60, 68)","(5, 0)"
0.08257612848899475,"(110, 32, 64, 16, 25, 40, 8, 5, 38, 4682, 78, 60, 68)","(5, 1)"
0.05818750616751219,"(110, 62, 64, 16, 25, 40, 8, 5, 38, 4682, 78, 60, 68)","(5, 2)"
0.008520277180169757,"(110, 32, 64, 16, 25, 40, 8, 5, 38, 4682, 78, 60, 68)","(5, 3)"
0.0825534440351552,"(110, 32, 64, 16, 25, 40, 8, 5, 38, 4682, 78, 60, 68)","(5, 4)"
