score,params,indices
0.06939938648609364,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.09227405438614089,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.0834186166845848,"(199, 41, 70, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(0, 2)"
0.08345730602395866,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.3334186288791891,"(423, 55, 97, 60, 10, 1, 4, 3, 56, 1357, 18, 84, 85)","(10, 5)"
0.33341863189676246,"(267, 55, 68, 17, 10, 1, 2, 3, 56, 2762, 18, 62, 54)","(8, 4)"
0.08112828119007676,"(267, 14, 83, 39, 7, 15, 2, 4, 97, 3277, 86, 60, 51)","(1, 3)"
0.08301045251557665,"(267, 14, 83, 39, 7, 15, 11, 4, 97, 3277, 86, 60, 83)","(1, 4)"
0.08338756992799037,"(267, 42, 83, 39, 7, 25, 11, 4, 97, 3277, 86, 60, 83)","(1, 5)"
0.08320542153118707,"(267, 42, 83, 39, 7, 25, 6, 4, 97, 3277, 86, 60, 83)","(2, 0)"
0.08168659355977308,"(267, 42, 83, 39, 7, 15, 6, 4, 97, 3277, 90, 60, 51)","(2, 1)"
0.08341156974044221,"(267, 42, 83, 39, 7, 15, 2, 4, 93, 3277, 90, 60, 68)","(2, 2)"
0.33227794712345066,"(267, 17, 83, 39, 7, 15, 2, 3, 97, 3277, 86, 60, 68)","(2, 3)"
0.08104992891730897,"(267, 17, 83, 39, 7, 15, 2, 3, 56, 3277, 86, 60, 68)","(2, 4)"
0.08348626940847015,"(267, 17, 35, 39, 7, 15, 2, 6, 56, 3277, 86, 60, 68)","(2, 5)"
0.08373706786329989,"(267, 17, 35, 39, 7, 25, 2, 6, 56, 3277, 86, 60, 68)","(3, 0)"
0.08328194804025142,"(267, 17, 35, 39, 7, 15, 2, 6, 56, 3277, 86, 60, 68)","(3, 1)"
0.08339134448486597,"(267, 17, 35, 39, 28, 15, 2, 6, 56, 3277, 86, 65, 68)","(3, 2)"
0.07168210622142343,"(267, 17, 35, 39, 7, 15, 2, 2, 56, 3277, 86, 65, 68)","(3, 3)"
0.25529790668288366,"(267, 17, 35, 39, 7, 15, 31, 2, 56, 3277, 86, 65, 68)","(3, 4)"
0.07422091990513989,"(267, 17, 35, 39, 7, 15, 17, 2, 56, 3277, 86, 65, 53)","(3, 5)"
0.05634534045853807,"(267, 17, 7, 39, 7, 15, 17, 1, 56, 3277, 86, 75, 53)","(4, 0)"
0.3294306707055714,"(792, 17, 35, 39, 7, 27, 17, 1, 56, 3277, 86, 75, 53)","(4, 2)"
0.08342223369255615,"(267, 17, 35, 39, 7, 27, 13, 9, 52, 3277, 86, 75, 53)","(4, 3)"
0.08349825187486208,"(267, 17, 35, 39, 7, 27, 13, 9, 56, 3277, 86, 75, 68)","(4, 4)"
0.08371620019016515,"(267, 17, 35, 39, 7, 27, 13, 9, 56, 3277, 86, 75, 88)","(4, 5)"
0.08350239113292388,"(267, 55, 35, 39, 7, 15, 2, 9, 56, 3277, 86, 75, 78)","(5, 0)"
0.0834471603009321,"(267, 17, 35, 39, 7, 27, 2, 9, 56, 3277, 86, 75, 78)","(5, 1)"
0.08359005479011065,"(267, 55, 69, 17, 7, 27, 2, 9, 56, 3277, 86, 75, 54)","(6, 0)"
0.0836746667821408,"(267, 55, 69, 17, 7, 27, 2, 9, 56, 3277, 86, 75, 54)","(6, 1)"
0.08346885658700562,"(267, 55, 69, 28, 7, 27, 2, 9, 56, 3277, 86, 75, 54)","(6, 2)"
0.08389501210213984,"(267, 55, 69, 28, 7, 27, 2, 9, 56, 3277, 86, 75, 54)","(6, 3)"
0.08341064288785867,"(267, 55, 69, 29, 7, 27, 2, 9, 56, 3277, 86, 75, 78)","(6, 4)"
0.31532574939497454,"(267, 55, 69, 17, 7, 27, 2, 3, 56, 3277, 86, 75, 54)","(7, 1)"
0.07252186256510865,"(267, 55, 69, 17, 7, 27, 2, 3, 56, 3277, 86, 75, 54)","(7, 2)"
0.07357553394649492,"(267, 55, 69, 10, 10, 27, 2, 3, 63, 3277, 18, 74, 54)","(8, 1)"
0.08333496124355022,"(20, 55, 68, 55, 10, 1, 2, 3, 56, 3277, 18, 74, 54)","(9, 0)"
0.0835685441239506,"(20, 55, 68, 59, 10, 1, 2, 3, 63, 3277, 87, 83, 54)","(9, 1)"
0.08348906178758635,"(20, 55, 68, 59, 10, 1, 2, 3, 63, 3277, 87, 62, 54)","(9, 2)"
0.0805612607056375,"(20, 55, 68, 59, 10, 1, 3, 3, 56, 3277, 87, 74, 85)","(9, 3)"
0.08335375825033697,"(20, 55, 68, 60, 10, 1, 3, 3, 56, 3277, 87, 74, 85)","(9, 4)"
0.08340457548679726,"(20, 55, 68, 60, 10, 1, 4, 3, 56, 2488, 87, 52, 85)","(9, 5)"
0.08323514426431959,"(20, 55, 97, 60, 10, 1, 24, 3, 56, 658, 18, 52, 85)","(10, 0)"
0.08215156813078296,"(20, 55, 97, 60, 10, 1, 24, 3, 63, 658, 18, 83, 85)","(10, 1)"
0.08342463417399122,"(20, 55, 97, 59, 10, 1, 16, 3, 56, 658, 18, 83, 85)","(10, 2)"
0.08324466390121976,"(20, 55, 97, 59, 10, 1, 16, 3, 56, 658, 18, 71, 85)","(10, 3)"
0.08345377990610355,"(20, 55, 97, 60, 10, 1, 3, 3, 56, 1357, 18, 84, 85)","(10, 4)"
