score,params,indices
0.06638660498935244,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.0751068242370625,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.33341863189676246,"(379, 2, 16, 53, 27, 12, 8, 8, 34, 4507, 69, 61, 64)","(10, 4)"
0.08343300752715706,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.3334186288791891,"(731, 17, 109, 53, 30, 14, 4, 5, 87, 1249, 46, 74, 74)","(10, 3)"
0.3316925878110139,"(267, 60, 83, 39, 7, 46, 6, 4, 97, 3277, 55, 77, 83)","(0, 5)"
0.07491536665888851,"(220, 63, 117, 14, 11, 33, 4, 2, 5, 562, 62, 81, 66)","(1, 2)"
0.07322770761387885,"(64, 25, 30, 14, 31, 34, 31, 2, 85, 2826, 2, 78, 77)","(1, 3)"
0.08453567220860392,"(267, 60, 24, 17, 7, 58, 28, 3, 93, 3271, 86, 74, 56)","(1, 5)"
0.32747842325057935,"(762, 60, 69, 50, 17, 1, 11, 1, 92, 4499, 82, 62, 56)","(2, 0)"
0.08341018710418811,"(58, 56, 121, 6, 16, 5, 24, 7, 13, 2433, 54, 60, 84)","(2, 1)"
0.08341862544336397,"(64, 28, 67, 50, 5, 15, 12, 6, 23, 1128, 2, 52, 75)","(2, 3)"
0.08338552702086098,"(229, 58, 110, 5, 9, 43, 11, 6, 21, 678, 92, 60, 72)","(2, 4)"
0.08340844489238641,"(97, 28, 55, 30, 17, 1, 16, 7, 66, 5038, 86, 62, 53)","(3, 0)"
0.0834606963113341,"(97, 56, 118, 30, 18, 28, 27, 5, 66, 5038, 31, 52, 89)","(3, 2)"
0.08339318293105105,"(155, 62, 39, 30, 17, 29, 31, 6, 66, 2776, 74, 62, 53)","(3, 5)"
0.06919878507628466,"(58, 37, 65, 54, 6, 61, 4, 2, 59, 5038, 67, 62, 59)","(4, 0)"
0.08344912596381582,"(58, 8, 65, 54, 28, 16, 19, 6, 42, 5038, 58, 70, 87)","(4, 1)"
0.06667650271007014,"(205, 46, 32, 54, 6, 25, 22, 2, 30, 1619, 74, 52, 59)","(4, 2)"
0.3318020796305631,"(458, 37, 32, 54, 31, 63, 22, 1, 21, 1358, 92, 85, 85)","(4, 3)"
0.0909298756467107,"(8, 52, 39, 42, 30, 9, 5, 1, 48, 2832, 27, 62, 74)","(4, 5)"
0.08877049142594838,"(4, 49, 82, 17, 24, 35, 14, 1, 8, 4521, 89, 71, 83)","(5, 1)"
0.0833714171134107,"(25, 37, 94, 21, 29, 51, 29, 8, 48, 4151, 27, 62, 85)","(5, 5)"
0.08501325858866467,"(287, 5, 111, 28, 19, 42, 15, 2, 30, 2264, 23, 58, 68)","(7, 0)"
0.0834188544961369,"(199, 51, 5, 28, 19, 16, 16, 8, 30, 373, 23, 66, 75)","(7, 2)"
0.07293561824485469,"(199, 13, 34, 44, 16, 16, 21, 1, 71, 3845, 76, 54, 67)","(7, 3)"
0.08346540731773294,"(287, 17, 33, 41, 24, 33, 26, 5, 30, 2264, 62, 60, 53)","(8, 0)"
0.08341447173658273,"(287, 19, 36, 21, 18, 33, 6, 5, 30, 1184, 62, 60, 77)","(8, 1)"
0.08340535231876661,"(336, 43, 52, 11, 16, 9, 26, 6, 3, 2017, 56, 60, 51)","(8, 5)"
0.08340538254146443,"(11, 60, 12, 46, 16, 48, 22, 6, 49, 4060, 10, 58, 53)","(10, 5)"
