score,params,indices
0.0077433732183356035,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.08215304058746091,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.08340351779920686,"(199, 41, 70, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(0, 2)"
0.08341222222247406,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.3334035393080037,"(263, 17, 99, 14, 7, 46, 28, 4, 21, 2026, 65, 72, 63)","(3, 0)"
0.009010287799333272,"(100, 60, 99, 15, 7, 46, 6, 4, 50, 64, 4, 60, 83)","(1, 0)"
0.008808921964544998,"(100, 60, 99, 15, 7, 46, 6, 3, 50, 64, 4, 60, 83)","(1, 1)"
0.008575263093960913,"(100, 60, 99, 15, 7, 46, 6, 3, 21, 64, 4, 60, 63)","(1, 2)"
0.08340257008863908,"(100, 60, 120, 15, 7, 46, 6, 8, 21, 64, 4, 60, 63)","(1, 3)"
0.009596331221492668,"(100, 45, 41, 15, 10, 46, 6, 4, 21, 64, 65, 60, 63)","(1, 4)"
0.08340356093027482,"(267, 45, 41, 15, 7, 46, 6, 4, 21, 64, 65, 60, 63)","(1, 5)"
0.08339530628127977,"(267, 45, 99, 15, 7, 46, 6, 9, 21, 2026, 65, 60, 63)","(2, 1)"
0.08316190804580324,"(267, 17, 120, 15, 7, 46, 6, 5, 21, 2026, 4, 60, 63)","(2, 3)"
0.008766401681460832,"(267, 17, 99, 15, 7, 46, 9, 5, 21, 2026, 65, 72, 63)","(2, 4)"
0.008606968396588376,"(263, 17, 75, 15, 7, 46, 28, 4, 21, 2026, 65, 72, 63)","(2, 5)"
0.07811816428895843,"(263, 17, 99, 14, 31, 46, 28, 4, 21, 2026, 65, 72, 63)","(3, 1)"
0.33340353585926114,"(730, 5, 69, 20, 24, 17, 30, 2, 21, 5095, 96, 71, 63)","(10, 2)"
0.011237552099322017,"(267, 17, 120, 14, 31, 46, 28, 4, 21, 2609, 65, 53, 63)","(3, 3)"
0.01141965693549106,"(267, 17, 120, 14, 31, 46, 9, 4, 21, 242, 65, 53, 63)","(3, 4)"
0.08340281263283013,"(110, 40, 99, 14, 31, 46, 9, 4, 21, 242, 65, 72, 63)","(3, 5)"
0.08340047307533065,"(110, 40, 99, 14, 25, 46, 9, 4, 21, 242, 65, 66, 63)","(4, 0)"
0.010692778320688951,"(110, 40, 99, 14, 25, 46, 9, 4, 21, 2026, 65, 66, 63)","(4, 1)"
0.011831475548054042,"(110, 40, 99, 14, 25, 46, 9, 4, 21, 2609, 65, 66, 63)","(4, 2)"
0.009018605385171739,"(110, 40, 99, 5, 25, 46, 9, 4, 21, 2609, 65, 66, 63)","(4, 3)"
0.010566085533091896,"(110, 40, 99, 14, 25, 46, 9, 4, 21, 242, 65, 65, 63)","(4, 4)"
